job Title,Programming language skills,framework skills,Experience,full time,Min Salary,Max salary
Desktop Developer,Python MYSQL ,GTK,1,T,3000,4000
Desktop Developer,Python MySQL ,KIVY,2,F,4000,5000
Desktop Developer,Python MySQL ,Tkinter,2,F,4000,6000
Desktop Developer,Python MySQL ,Qt,2,T,5000,6000
Desktop Developer,Python MySQL ,GTK,2,F,4000,5000
Desktop Developer,Python MySQL ,Wx,2,F,5000,6000
Desktop Developer,Python MySQL ,GTK,2,T,5000,7000
Desktop Developer,Python MySQL ,Qt,3,F,6000,7000
Desktop Developer,Python MySQL ,GTK,3,T,7000,8000
BackEnd Developer,Python JavaScript MySQL ,Growler Bootstrap Angular6+,3,F,6500,8000
BackEnd Developer,Python JavaScript MySQL ,"Django Bootstrap3,4 Angular6+",3,T,7000,9000
FullStack Developer,Python HTML5 CSS3 JavaScript JQuery MYSQL ,Django Bootstrap Angular2+,1,F,3500,5000
FullStack Developer,"Python HTML5 CSS3 JavaScript JQuery ES5,6 TypeScript MYSQL ",Django Boostrrap Angular6+ ReactJS VueJS,1,F,4500,5500
FullStack Developer,"Python HTML5 CSS3 JavaScript JQuery ES5,6 TypeScript MYSQL",Flask Bootstrap3 Angular6+ VueJS,2,T,5000,7000
FullStack Developer,"Python HTML5 CSS3 JavaScript JQuery ES5,6 TypeScript MYSQL","Django Bootstrap3,4 Angular6+ ReactJS VuewJS",3,T,7000,9000
FullStack Developer,"Python HTML5 CSS3 JavaScript JQuery ES5,6 TypeScript MYSQL","Flask Django Bootstrap3,4 Angular6+ ReactJS VuewJS",4,F,10000,12000
FullStack Developer,"Python HTML5 CSS3 JavaScript JQuery ES5,6 TypeScript MYSQL","Flask Django Bootstrap3,4 Angular6",3,F,7000,9000
Desktop Developer,C# SQLSERVER WinForms ADO.NET,EntityFramework .NETFramework,1,T,2500,4000
Desktop Developer,C# SQLSERVER WinForms ADO.NET WPF ,EntityFramework .NETFramework,2,F,4000,6000
Desktop Developer,C# SQLSERVER WinForms ADO.NET WPF WCF ,.NETFramework,2,T,4000,6000
FullStack Developer,"C# SQLSERVER MongoDB WCFJavaScript HTML5,CSS3 JQuery JavaScript ES5,6 AJAX",".NETCore EntityFrameworkCore Bootstrap3,4 Angular6+",3,F,8000,10000
FullStack Developer,"C# SQLSERVER MongoDB WCFJavaScript HTML5,CSS3 JQuery JavaScript ES5,6 AJAX",".NETCore EntityFrameworkCore Bootstrap3,4 Angular6+ ReactJS",3,T,9000,10000
FullStack Developer,PHP MYSQL JavaScript HTML5 CSS3 JQuery AJAX ,Larevel ReactJS Bootstrap,4,F,10000,11000
FullStack Developer,PHP MYSQL JavaScript HTML5 CSS3 JQuery AJAX ,Larevel ReactJS Bootstrap CodeIgniter ,4,T,10000,12000
FullStack Developer,PHP MYSQL JavaScript HTML5 CSS3  JQuery AJAX ,Larevel ReactJS Bootstrap CakePHP,4,F,10000,11000
FullStack Developer,"PHP MYSQL JavaScript HTML5 CSS3 JQuery AJAX ES5,6 ",Larevel ReactJS Bootstrap FuelPHP AngularJS,4,T,10000,12000
FullStack Developer,PHP MYSQL JavaScript HTML5 CSS3 JQuery AJAX ,Larevel ReactJS Bootstrap Phalcon,3,T,7000,9000
Mean Stack Developer,"JavaScript HTML5 CSS3 MongoDB ES5,6 TypeScript",ExpressJS AngularJS NodeJS MEANJS,3,T,10000,13000
Mean Stack Developer,"JavaScript HTML5 CSS3 MongoDB ES5,6 TypeScript",ExpressJS AngularJS NodeJS  MEANJS Bootstrap,4,F,12000,15000
BackEnd Developer,Ruby JavaScript MYSQL HTML CSS ,Ruby On Rails Bootstrap Angular2+,2,T,4000,7000
BackEnd Developer,Ruby JavaScript MYSQL HTML CSS ,Ruby On Rails Bootstrap Angular4+,3,F,7000,8000
FullStack Developer,Ruby Mongo MYSQL JavaScript HTML5 CSS3 JQuery AJAX ,Ruby On Rails Bootstrap Angular4+ ReactJS VueJS,4,F,9000,11000
FullStack Developer,"JavaScript HTML5 CSS3 MongoDB ES5,6 TypeScript",Angular6+ Bootstrap NodeJS,3,T,8000,10000
PHP Developer," HTML  CSS  JavaScript  jQuery  AJAX  XML MySql  SqlServer  Oracle   SOA  Java, ",MVC JEE,3,T,3500,7500
UI Designer,HTML CSS JavaScript  ,Photoshop,0,T,2000,2500
 Xamarin  developer,C# HTML CSS Webapi, Xamarin ,3,T,7000,8000
 Cross Platform,Dart java ObjectiveC Web Services SDK JSON · XML · JSON Fire Base,Flutter framework ,3,T,9000,11000
Front End,HTML HTML5 CSS CSS3 JavaScript Jquery ,Angular 2+ Bootstrap ,2,T,4000,6000
PHP Developer," HTML  CSS  JavaScript  jQuery  AJAX  XML MySql  SqlServer  Oracle   SOA  Java, ",MVC JEE,3,T,3500,7500
Dotnet Developer,C# VB.NET  T-SQL JavaScript  XSLT HTML  XML JQuery  ADO.NET AJAX,MVC Entityframework,0,T,4000,6000
FrontEnd,HTML CSS JavaScript  ,Angular2+ Bootstrap ,0,T,2000,2500
Web Developer ,C#   SQLServer CSS   jQuery,ASP.net,3,T,3000,6000
DOTnet Developer,C#   SQLServer CSS   jQuery Javascript C# VB,ASP.net,1,t,3000,5000
UI Designer, HTML HTML5  CSS CSS3 JavaScript  jQuery PHP,,3,T,1800,3000
Web Developer ,HTML5  CSS  jQuery  Ajax REST  JSON MySQL Memcache Apache,MVC ,3,T,2000,4000
full stack developer,c# SQL HTML CSS JavaScript,ASP.NetMVC Bootstrap,3,T,3000,5000
mobile developer,java kotlin ,android,1,T,2000,3000
Full Stack Dot Net Developer, c# SQL HTML CSS JavaScript,ASP.NetMVC Bootstrap Angular,1,T,4500,6000
Dot Net Developer,C# SQL HTML CSS JavaScript,ASP.NETMVC Bootstrap ,1,T,3500,5000
Full Stack PHP Developer,PHP MySQL  HTML CSS  Javascript ,Laravel Bootsrrap CodeIgniter Zend,5,T,10000,12000
PHP Developer,PHP MySQL HTML5 CSS3 Java Script ,MVC Laravel  CodeIgniter JQuery,3,T,5000,8000
Web Developer ,C# MSSQL HTML CSS Java Script JQuery ,ASP.NETMVC .NET CoreMVC  EntityFramework Bootstrap,3,T,8000,10000
DotNet Developer,C# HTML CSS JavaScript Jquery ,ASP.NET MVC  Bootstrap 3 Entity framework ,2,T,6000,7500
Web Developer ,Python JavaScript ,Dash ReactJS,2,F,3500,4500
Web Developer ,Python JavaScript,Django Bootstrap ,2,F,3500,4000
UI Designer,CSS  HTML5  Jquery ,Photoshop Flash  ,1,T,2000,3000
Xamarin  developer,C# HTML CSS Webapi, Xamarin ,3,T,7000,8000
Front End,HTML HTML5 CSS CSS3 JavaScript ES6 Typescript AJAX ,Angular 6+  AngularJS Bootstrap  React JS,5,T,10000,12000
Front End,HTML HTML5 CSS CSS3 JavaScript ,Angular 2+ Bootstrap ,2,T,4000,6000
full stack developer,c# SQL HTML CSS JavaScript,ASP.NetMVC Bootstrap,3,T,3000,5000
Full Stack Dot Net Developer,"C# HTML CSS JavaScript Jquery ES5,6 TS",Angular 4+ Bootstrap EntityFramework ,2,T,7000,8000
PHP Developer,PHP MYSQL HTML5 CSS3 ,Laravel  Bootsrrap ,1,T,2000,3000
Cross Platform,Dart java ObjectiveC Web Services SDK JSON · XML · JSON Fire Base,Flutter framework ,3,T,9000,11000
Front End,HTML HTML5 CSS CSS3 JavaScript Jquery ,Angular 2+ Bootstrap ,2,T,4000,6000
Machine Leaerning Developer,Python MySQL ,DeepLearningFrameworks,1,T,5000,7000
Data Engineer,C Java R Python,DeepLearningFrameworks,6,T,7000,9000
Java Developer,Java Python MySQL,Spring Angular,3,T,3000,5000
Java Developer,Java,Spring Angular,2,T,3000,4000
Data Scientist,R Python MySQL,DeepLearningFrameworks,5,T,5000,8000
Software Engineer,Java JavaScript Python Ruby Scala,Docker Spring Flask Spark Rails,4,T,5000,6000
Software Engineer,Java Python ,Spring Flask,2,F,3000,5000
Mobile Developer,Java HTML HTML5 CSS CSS3 JavaScript,ReactNative,2,T,4000,5000
Mobile Developer,Java JavaScript Python,ReactNative Android ,3,F,4000,6000
Python Developer,Python NativePython JavaScript HTML5 CSS3 MySQL,Angular Django JQuery,4,T,10000,12000
PHP Developer,PHP JavaScript C# Java,Angular JQuery,4,T,6000,7000
Data Engineer,Python R MySQL,DeepLearningFrameworks,5,T,8000,10000
Python Developer,Python MySQL Java C#,Django Flask,5,T,8000,9000
Backend Developer,PHP MySQL,Laravel,3,T,4000,6000
Backend Developer,JavaScript HTML CSS Python,JQuery Bootstrap Angular Django Flask,3,T,5000,7000
Dot Net Developer,C# MySQL,ASP.NET ASP.NET MVC Entity LINQ,5,T,6000,8000
Flutter Developer,Dart Java,Flutter,2,F,5000,6000
IOS Developer,Swift,iOSFrameworks,6,T,9000,10000
Unity Developer,C# Java Swift,Android iOS Gameplay,3,T,6000,8000
VR Developer,C# C++ Java,Android Gameplay,4,F,8000,10000
Blockchain Developer,JavaScript HTML PHP CSS,GoFrameworks,2,T,7000,9000
Android Developer,Java MySQL ,Android JSON ,6,T,5000,7000
xamarin developer,C# VB.net Microsoft SQL,Xamarin Ios/Android Xamarinstudio,5,T,4000,6000
React Native developer,HTML5 CSS JavaScript ,ReactNative Android/Ios,3,T,3000,4000
Flutter developer,Java Dart ,Flutter Ios/Android ,2,T,2000,3000
Flutter developer,Java /Kotlin Dart,Flutter Ios/Android ,3,T,4000,6000
Flutter developer,java/Kotlin Dart Swift,Flutter Ios/Android ,2,F,2000,2500
Flutter developer,Dart Java/Swift,Flutter Ios/Android ,1,F,1500,2000
React Native developer,JavaScript,React.js,2,T,3000,5000
React Native developer,JavaScript ,ReactNative Android/Ios,3,F,2000,3000
xamarin developer,C C# SqlServer JavaScript,Xamarin Titanium/Cordova,6,F,6000,10000
xamarin developer,C# VB.NET ASP.NET ADO.NET ,Xamarin Entityframework ,7,F,10000,12000
Flutter developer,Java/Kotlin Dart Swift ,flutter Ios/Android ,5,T,4000,5000
Flutter developer,Dart Java/kotlin Swift,flutter Ios/Android ,2,F,3000,3500
Flutter developer,Dart java/kotlin,flutter Android,1,T,2000,3000
Flutter developer,Dart Java/kotlin Swift,flutter Ios/Android ,5,F,4000,5000
Ionic developer,Typescript Angular2+ Sass,ionic,3,T,5000,7000
Ionic developer,Angular2+ Sass Swift/Objective-C Java,ionic Android Ios,2,F,5000,6000
Ionic developer,Typescript Angular2+ Sass Java/Kotlin Swift,ionic Android Ios,2,T,4000,6000
Flutter developer,Java/Kotlin Swift C++ ,flutter Android Ios,2,T,4000,5000
React Native developer,Java/Kotlin Objective-C/Swift JavaScript,ReactNative Android,5,T,6000,8000
React Native developer,JavaScript,React.js JavaScript,0,T,2000,3000
Android Developer ,java ,android ,3,T,7000,8000
Android Developer ,java c++,android,1,T,2500,4000
Android Developer ,java kotlin,android,1,F,3000,5000
Android Developer ,kotlin,android,1,F,2000,4000
Android Developer ,kotlin java ,android,2,T,5000,8000
Android Developer ,java ,android,3,T,7000,8000
Android Developer ,java ,android,5,T,9000,10000
Android Developer ,kotlin java ,android,7,T,12000,16000
Android Developer ,kotlin c++,android,6,F,7000,10000
Android Developer ,java ,android,3,T,7000,8000
Android Developer ,java ,android,3,F,6000,8000
Android Developer ,java ,android,1,T,2000,4000
Android Developer ,java kotlin c++,android,2,T,6000,8000
Android Developer ,java ,android,2,T,5000,7000
Android Developer ,java c++,android,1,T,2000,4500
Android Developer , kotlin,android,1,T,2000,4500
Android Developer ,java ,android,1,T,2000,4000
Android Developer ,java kotlin,android,3,T,7500,9000
Android Developer ,java ,android,4,F,75000,9000
Android Developer ,java ,android,5,T,9000,10000
Android Developer ,java kotlin,android,7,F,11000,15000
Android Developer ,java kotlin c++,android,6,T,10000,14000
Android Developer ,java ,android,5,T,9000,10000
Android Developer ,java ,android,2,F,4000,6000
Android Developer ,java ,android,6,F,7000,9500
PHP Developer, PHP XHTML CSS JavaScript AJAX JSON MySql  HTML CSS SQL XML Java, Zend JQuery,5,T,4000,8000
PHP Developer,PHP Html JavaScript MySql,Laravel,0,T,1200,2000
Web Designer,Html CSS JavaScript ,Bootstrap,0,T,1700,2500
Web Developer, HTML JavaScript Jquery CSS PHP C# MySQL,ASP.Net,1,T,1500,3000
Flutter Developer,JavaScript HTML5 Java Objective-C Swift dart,Flutter,2,T,3500,5000
Full Stack Developer, Python JavaScript HTML5 CSS3 SQL API,Django ReactJS Angular jQuery,2,T,5000,7000
Full Stack Developer,PHP JSON React NodeJS XML,jQuery Django Laravel,2,T,2500,3500
PHP Developer,SQL · PHP · javaScript  JSON · MySQL · ,JQuery Laravel,2,T,3000,5000
Front End,Html CSS JavaScript ,Bootstrap,0,T,1500,2500
backend developer,C# SQL Html css javaScript ,Bootstrap jquery ASPMVC,0,T,3000,4000
ios developer,Swift Objectivec,IOS,0,T,3000,4000
ios developer,Swift,IOS,0,T,2500,3000
ios developer,Objectivec,IOS,0,T,2500,3000
React Developer,Html CSS JavaScript ,React,0,T,2500,3000
Web Developer ,JavaScript HTML CSS MYSQL Python , AngularJS,0,T,2500,3500
Web Developer ,Python JavaScript HTML CSS3 MYSQL,Growler Bootstrap,0,T,2500,3500
Web Developer ,MYSQL Python JavaScript HTML CSS ,Flask Bootstrap Angular,0,T,3000,4000
full stack developer,c# SQL HTML CSS JavaScript,ASP.NetMVC Bootstrap,3,T,3000,5000
mobile developer,java kotlin ,android,1,T,2000,3000
